ÉhÉâêî,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,ã«é˚éx,é˚éxîÕàÕ
0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2000,1
0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,-1000,-1
0,0,2,1,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2600,1
2,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,-1
0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,-1
2,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,1,0,-1600,-1
1,0,0,1,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,-1
1,2,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-1
2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,2,8000,2
2,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,-8000,-2
0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-6200,-2
1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,-1
0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,6200,2
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,-1
2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,-3000,-1
0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,-4000,-2
2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9000,2
0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,-2000,-1
2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-1500,-1
1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,500,1
1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,-1500,-1
0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,3,1,0,0,0,0,500,1
0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,-800,-1
1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,-800,-1
1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,-800,-1
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,4400,1
2,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8600,2
0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,1,1,1,0,0,0,-8600,-2
0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1
0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,-1
1,0,0,0,0,1,0,0,1,0,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,-4000,-2
1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,8000,2
0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-2000,-1
0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,1,-2000,-1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,4000,1
2,0,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-2000,-1
1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,-1000,-1
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,0,1,1,-1000,-1
0,1,2,0,1,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-2000,-1
1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,9000,2
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,-5000,-2
1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,-2000,-1
1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,8000,2
1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,-2000,-1
0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-2000,-1
2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,-4000,-2
2,0,0,1,3,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13000,2
1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,1,0,-1
0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,-13000,-2
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,-1
0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,18300,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,-6100,-2
0,1,0,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,-6100,-2
0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,-6100,-2
1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,-1000,-1
0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,9600,2
0,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,-8600,-2
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,1,0,-3000,-1
1,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,-6000,-2
1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,-3000,-1
1,0,0,0,0,2,0,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,12000,2
1,0,1,2,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,-1000,-1
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,0,0,0,0,1,1,1,0,1,0,-1000,-1
0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,-1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,2,2,0,0,0,0,0,1,0,0,2000,1
