ÉhÉâêî,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,ã«é˚éx,é˚éxîÕàÕ
2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,1,0,1,0,-1
0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2000,1
2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,500,1
1,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,500,1
1,1,2,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,-1500,-1
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,-1500,-1
1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,-3000,-1
1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,5000,1
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,-1000,-1
0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,-1000,-1
2,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,-1000,-1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,3000,1
0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,-1000,-1
1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,-1000,-1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,1,1,0,0,-1
